cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;73932855135241308064;562729604.0;562735844.0;536870912;0.03215;366.1749122142792
flops;['kahypar'];Rotated Surface Tanner;9;0;352816;556.0;796.0;64;0.12598;2.488354206085205
flops;['kahypar'];Rotated Surface Tanner;25;0;162492058460842592;6343008.0;6349248.0;1048576;0.02921;2717.7039499282837
custom_flops;['kahypar'];BB Tanner;18;0;75577536592691869518080;624145472.0;624147776.0;268435456;0.04368;567.7712864875793
custom_flops;['kahypar'];BB Tanner;30;0;81130881190356183862217173634816;11548184416256.0;11548184420096.0;4398046511104;0.01728;432.7510595321655
flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;4741.373177289963
flops;['kahypar'];BB Tanner;30;0;24778148399659228994893516544;4825228909632.0;4825228913472.0;274877906944;0.02608;2978.517429590225
custom_flops;['kahypar'];BB MSP;18;0;19184976702987554142738;381788652.0;381794430.0;134217728;0.07861;1016.709832906723
custom_flops;['kahypar'];BB MSP;30;0;1298708040161675500791239899230238;430563141784.0;430563151414.0;274877906944;0.08425;3949.1589200496674
flops;['kahypar'];BB MSP;18;0;599559736946152103954;71410359280.0;71410365058.0;1073741824;0.09504;688.7390248775482
flops;['kahypar'];BB MSP;30;0;81131495478147139256762079963742;2.8825676547760685e+17;2.8825676547761645e+17;281474976710656;0.08855;595.8228919506073
custom_flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;140.2098913192749
custom_flops;['kahypar'];Hamming Tanner;15;0;1171006621908290160;2955520.0;2958192.0;1048576;0.04644;339.58645725250244
flops;['kahypar'];Hamming Tanner;7;0;1622812;1076.0;1296.0;256;0.14355;24.388716459274292
flops;['kahypar'];Hamming Tanner;15;0;18366589059873456;1932164.0;1934836.0;1048576;0.05767;2.340155839920044
custom_flops;['kahypar'];Rotated Surface MSP;9;0;343921;1340.0;2221.0;128;0.14643;304.1461567878723
custom_flops;['kahypar'];Rotated Surface MSP;25;0;594476582088230937;13619104.0;13630745.0;8388608;0.09089;688.4237322807312
flops;['kahypar'];Rotated Surface MSP;9;0;607537;1532.0;2413.0;128;0.1326;71.29259872436523
flops;['kahypar'];Rotated Surface MSP;25;0;4157873757753;3788670.0;3800311.0;2097152;0.09386;264.19440150260925
custom_flops;['kahypar'];Hamming Tanner;7;0;2421532;1028.0;1248.0;256;0.12305;190.8037304878235
custom_flops;['kahypar'];Hamming Tanner;15;0;36310617848826480;3213376.0;3216048.0;1048576;0.04859;351.71896171569824
flops;['kahypar'];Hamming Tanner;7;0;1622812;1076.0;1296.0;256;0.14355;23.68980598449707
flops;['kahypar'];Hamming Tanner;15;0;90076740641704560;1923328.0;1926000.0;1048576;0.04644;12.486396074295044
custom_flops;['kahypar'];Rotated Surface MSP;9;0;17340305;1360.0;2241.0;128;0.14506;302.81843280792236
custom_flops;['kahypar'];Rotated Surface MSP;25;0;1944681361113456419054121;2.0225985221029842e+21;2.0225985221029842e+21;590295810358705651712;0.06589;5243.3530423641205
flops;['kahypar'];Rotated Surface MSP;9;0;342833;1802.0;2683.0;256;0.12574;87.57680797576904
flops;['kahypar'];Rotated Surface MSP;25;0;20963829934585;2224804.0;2236445.0;131072;0.09217;317.85567474365234
custom_flops;['kahypar'];Hamming MSP;7;0;1452463;1322.0;1977.0;128;0.12949;302.8341042995453
custom_flops;['kahypar'];Hamming MSP;15;0;18580185801532351;8839846.0;8848725.0;4194304;0.1104;428.758104801178
flops;['kahypar'];Hamming MSP;7;0;2329711;1942.0;2597.0;256;0.13626;229.49271631240845
flops;['kahypar'];Hamming MSP;15;0;605019438892559;35796718.0;35805597.0;4194304;0.112;406.7037389278412
custom_flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;280.7815704345703
custom_flops;['kahypar'];Hamming Tanner;15;0;1171006621908290160;2955520.0;2958192.0;1048576;0.04644;301.5913598537445
flops;['kahypar'];Hamming Tanner;7;0;1622812;1076.0;1296.0;256;0.14355;49.37164783477783
flops;['kahypar'];Hamming Tanner;15;0;1171006621908290160;2955520.0;2958192.0;1048576;0.04644;29.542032718658447
custom_flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;68.11392450332642
custom_flops;['kahypar'];Rotated Surface;25;0;219904;624.0;880.0;32;0.06641;303.58746576309204
custom_flops;['kahypar'];Rotated Surface;49;0;67163200;17120.0;17696.0;512;0.03979;329.8516025543213
flops;['kahypar'];Rotated Surface;9;0;6720;272.0;336.0;32;0.3125;0.6494765281677246
flops;['kahypar'];Rotated Surface;25;0;193216;3172.0;3428.0;128;0.14453;16.81927251815796
flops;['kahypar'];Rotated Surface;49;0;22570048;18552.0;19128.0;512;0.07585;37.09459471702576
custom_flops;['kahypar'];Rotated Surface Tanner;9;0;431536;492.0;732.0;64;0.11963;301.81551003456116
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;1190143765428709036704;441471908.0;441478148.0;268435456;0.03507;324.3906452655792
flops;['kahypar'];Rotated Surface Tanner;9;0;620592;644.0;884.0;64;0.12354;3.579472303390503
flops;['kahypar'];Rotated Surface Tanner;25;0;1173479670769855584;7127424.0;7133664.0;1048576;0.02986;3549.5859780311584
