cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
flops;['greedy'];Rotated Surface;49;0;9983040;9032.0;9608.0;256;0.0507;0.716839075088501
flops;['greedy'];Hamming MSP;7;0;319055;3072.0;3727.0;512;0.15469;3.2412848472595215
flops;['greedy'];Hamming MSP;15;0;138412197159;5420429124.0;5420438003.0;1073741824;0.03469;6.942838191986084
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.9671554565429688
flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;0.0872206687927246
flops;['greedy'];Concatenated Repetition;81;0;2028;484.0;1112.0;16;0.58333;0.1901869773864746
flops;['kahypar'];Hamming MSP;7;0;328623;2758.0;3413.0;512;0.14089;195.82672476768496
flops;['kahypar'];Hamming MSP;15;0;880065100026063;75683278.0;75692157.0;67108864;0.13044;7652.760952472687
flops;['greedy'];Hamming Tanner;7;0;1389532;1024.0;1244.0;256;0.14876;1.1487796306610107
flops;['greedy'];Hamming Tanner;15;0;295619156592;5978704.0;5981376.0;1048576;0.04927;0.7069058418273926
flops;['greedy'];Rotated Surface;9;0;6656;140.0;204.0;16;0.25781;1.026784896850586
flops;['greedy'];Rotated Surface;25;0;453376;1256.0;1512.0;64;0.09049;0.3099725246429443
flops;['greedy'];Rotated Surface;49;0;1400960;13820.0;14396.0;512;0.03597;0.6926560401916504
flops;['greedy'];BB MSP;18;0;46837224128266;14940517962616.0;14940517968394.0;2199023255552;0.02398;12.428808212280272
flops;['greedy'];BB MSP;30;0;7477637271181453470;1.0968738049287934e+16;1.0968738049297564e+16;1125899906842624;0.06126;29.251938104629517
flops;['greedy'];BB Tanner;18;0;35711185586432;8861108290.0;8861110594.0;1073741824;0.02862;2.929584264755249
flops;['greedy'];BB Tanner;30;0;57139396256206592;14314682878080.0;14314682881920.0;1099511627776;0.01723;5.586408376693726
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;1.0051302909851074
flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;1.3535747528076172
flops;['kahypar'];Concatenated Repetition;81;0;2860;614.0;1242.0;32;0.49359;58.4905219078064
flops;['greedy'];BB Tanner;18;0;28289482098944;7056311360.0;7056313664.0;1073741824;0.04346;3.124602794647217
flops;['greedy'];BB Tanner;30;0;19515550388981504;7484927854656.0;7484927858496.0;1099511627776;0.01751;5.817874431610107
flops;['greedy'];BB Tanner;18;0;34061918144768;8450492482.0;8450494786.0;1073741824;0.02862;1.5084984302520752
flops;['greedy'];BB Tanner;30;0;19515756547411712;5721894045760.0;5721894049600.0;549755813888;0.01751;2.8814163208007812
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.5596632957458496
flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;0.0563194751739501
flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;0.1884534358978271
flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;20.790851354599
flops;['kahypar'];Hamming Tanner;15;0;289637824186436208;5045376.0;5048048.0;4194304;0.04646;1.3702099323272705
flops;['greedy'];Holographic;25;0;18736;3712.0;3888.0;256;0.925;0.7083740234375
flops;['greedy'];Holographic;95;0;17609808;17751504.0;17752480.0;65536;0.875;0.6532914638519287
flops;['greedy'];BB MSP;18;0;18027628228306;40035210819548.0;40035210825326.0;4398046511104;0.03534;7.712907075881958
flops;['greedy'];BB MSP;30;0;15610372340944358718;1.4565733307777278e+16;1.4565733307786908e+16;1125899906842624;0.01353;21.097845315933228
flops;['greedy'];BB Tanner;18;0;23148406245632;5778196608.0;5778198912.0;1073741824;0.02905;1.6177165508270264
flops;['greedy'];BB Tanner;30;0;20359975319113472;8229155408000.0;8229155411840.0;549755813888;0.01723;2.595757246017456
flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;55705.187438726425
flops;['kahypar'];BB Tanner;30;0;1180612261662446063360;5544271585344.0;5544271589184.0;549755813888;0.0176;1974.7355709075928
flops;['kahypar'];BB Tanner;18;0;19342813474443803061127424;6095154176.0;6095156480.0;1073741824;0.02888;242346.14547777176
flops;['kahypar'];BB Tanner;30;0;79228162515509092651136716544;6936945045504.0;6936945049344.0;549755813888;0.01715;16716.872913360596
flops;['kahypar'];BB MSP;18;0;151170569620363026;3665484.0;3671262.0;2097152;0.08943;44290.87975049019
flops;['greedy'];BB MSP;18;0;1860439573202;6377924996868.0;6377925002646.0;1099511627776;0.03197;13.82541823387146
flops;['greedy'];BB MSP;30;0;11926809572832510678;3.615565954770254e+17;3.61556595477035e+17;36028797018963968;0.03325;29.140923500061035
flops;['kahypar'];BB MSP;18;0;148205091271595907666;18390625400.0;18390631178.0;536870912;0.09714;13740.450417757034
flops;['kahypar'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;1.1565697193145752
flops;['kahypar'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.4348173141479492
