cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['kahypar'];Rotated Surface;49;0;8341056;5200.0;5776.0;128;0.03719;358.48409152030945
flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;50.01295590400696
flops;['kahypar'];Rotated Surface;25;0;219904;624.0;880.0;32;0.06641;302.4622859954834
flops;['kahypar'];Rotated Surface;49;0;13224512;14512.0;15088.0;2048;0.04187;323.1810302734375
custom_flops;['kahypar'];Rotated Surface Tanner;9;0;431536;492.0;732.0;64;0.11963;257.0506811141968
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;4723522408254346859680;198757316.0;198763556.0;67108864;0.03401;401.5227086544037
flops;['kahypar'];Rotated Surface Tanner;9;0;406448;516.0;756.0;64;0.13525;301.75762844085693
flops;['kahypar'];Rotated Surface Tanner;25;0;4724240589521579643360;266682008.0;266688248.0;67108864;0.03878;315.4883441925049
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;4.438464403152466
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;15.671406030654907
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;52.657121658325195
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.07055401802062988
flops;['greedy'];Concatenated Repetition;27;0;588;130.0;326.0;16;0.58333;0.18953394889831543
flops;['greedy'];Concatenated Repetition;81;0;2028;484.0;1112.0;16;0.58333;0.5731332302093506
custom_flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;36.147817850112915
custom_flops;['kahypar'];Rotated Surface;25;0;219904;624.0;880.0;32;0.06641;301.37661576271057
custom_flops;['kahypar'];Rotated Surface;49;0;22774848;4512.0;5088.0;128;0.03739;304.1746587753296
flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;36.510863065719604
flops;['kahypar'];Rotated Surface;25;0;211712;864.0;1120.0;64;0.07357;300.60692954063416
flops;['kahypar'];Rotated Surface;49;0;8908864;8000.0;8576.0;256;0.03957;386.4516634941101
custom_flops;['kahypar'];Rotated Surface Tanner;9;0;406448;516.0;756.0;64;0.13525;302.2209053039551
custom_flops;['kahypar'];Rotated Surface Tanner;25;0;39495168826856672;237862248.0;237868488.0;134217728;0.03666;889.2644791603088
flops;['kahypar'];Rotated Surface Tanner;9;0;404528;516.0;756.0;64;0.12207;267.01527285575867
flops;['kahypar'];Rotated Surface Tanner;25;0;2420213115345482475761824;790221828.0;790228068.0;536870912;0.03317;581.5936942100525
custom_flops;['kahypar'];Holographic;25;0;10480;2320.0;2496.0;256;0.82656;70.21619462966919
custom_flops;['kahypar'];Holographic;95;0;321640976;4126224.0;4127200.0;262144;0.6744;314.92955446243286
flops;['kahypar'];Holographic;25;0;13040;3088.0;3264.0;256;0.925;50.32427144050598
flops;['kahypar'];Holographic;95;0;1654096;2546880.0;2547856.0;65536;0.60288;346.6002469062805
