cost_fn;representation;num_run_x;distance;num_qubits;contraction_time;contraction cost;contraction width;operations;avg intermediate tensor;max tensor size;wep;score_cotengra;brute_force;num_run_y;brute_force_operations;operations_w_bruteforce
custom;Rotated Surface;32;3;9;0.1202723979949951;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;32;3;9;0.1052207946777343;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;33;3;9;0.0322744846343994;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;33;3;9;0.1095213890075683;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;33;3;9;0.1011650562286377;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;34;3;9;0.0278232097625732;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;34;3;9;0.1032676696777343;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;34;3;9;0.1151647567749023;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;35;3;9;0.0283699035644531;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;35;3;9;0.1061189174652099;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;35;3;9;0.1010899543762207;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;36;3;9;0.0280375480651855;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;36;3;9;0.1039204597473144;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;36;3;9;0.1123831272125244;200;4.0;120;7.285714285714286;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.906890595608519;256;;;120.0
custom;Concatenated;37;3;9;0.0305454730987548;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;37;3;9;0.113396406173706;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;37;3;9;0.1010992527008056;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
custom;Concatenated;38;3;9;0.0302855968475341;14;2.0;10;3.2857142857142856;4;{0:1, 2:9, 4:27, 6:75, 8:144};3.321928094887362;256;0.0;52.0;62.0
custom;Rotated Surface;38;3;9;0.1017968654632568;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;0.0;52.0;174.0
custom;Rectangular Surface;38;3;9;0.1066257953643798;200;4.0;122;7.380952380952381;32;{0:1, 2:4, 4:22, 6:100, 8:129};6.930737337562887;256;;;122.0
