distance;name;num_run;custom_cost
3;Tanner Network;59;2369
3;Dual Surface;60;265
3;Rotated Surface;60;89
3;Concatenated;60;2265
3;Measurement State Prep;60;2401
3;Tanner Network;60;2025
3;Dual Surface;61;285
3;Rotated Surface;61;89
3;Concatenated;61;1865
3;Measurement State Prep;61;2775
3;Tanner Network;61;2441
3;Dual Surface;62;265
3;Rotated Surface;62;95
3;Concatenated;62;1993
3;Measurement State Prep;62;3707
3;Tanner Network;62;2349
3;Dual Surface;63;273
3;Rotated Surface;63;91
3;Concatenated;63;2105
3;Measurement State Prep;63;2773
3;Tanner Network;63;2253
3;Dual Surface;64;281
3;Rotated Surface;64;91
3;Concatenated;64;1833
3;Measurement State Prep;64;3089
3;Tanner Network;64;2341
3;Dual Surface;65;285
3;Rotated Surface;65;95
3;Concatenated;65;2113
3;Measurement State Prep;65;2971
3;Tanner Network;65;2369
3;Dual Surface;66;249
3;Rotated Surface;66;95
3;Concatenated;66;1801
3;Measurement State Prep;66;2897
3;Tanner Network;66;2369
3;Dual Surface;67;273
3;Rotated Surface;67;89
3;Concatenated;67;2081
3;Measurement State Prep;67;2775
3;Tanner Network;67;2241
3;Dual Surface;68;249
3;Rotated Surface;68;89
3;Concatenated;68;2129
3;Measurement State Prep;68;2767
3;Tanner Network;68;2477
3;Dual Surface;69;249
3;Rotated Surface;69;95
3;Concatenated;69;2177
3;Measurement State Prep;69;2867
3;Tanner Network;69;2361
3;Dual Surface;70;249
3;Rotated Surface;70;99
3;Concatenated;70;2193
3;Measurement State Prep;70;3061
3;Tanner Network;70;2321
3;Dual Surface;71;273
3;Rotated Surface;71;91
3;Concatenated;71;2001
3;Measurement State Prep;71;3061
3;Tanner Network;71;2473
3;Dual Surface;72;249
3;Rotated Surface;72;87
3;Concatenated;72;2265
3;Measurement State Prep;72;2997
3;Tanner Network;72;2369
3;Dual Surface;73;293
3;Rotated Surface;73;87
3;Concatenated;73;1921
3;Measurement State Prep;73;3691
3;Tanner Network;73;2357
3;Dual Surface;74;289
3;Rotated Surface;74;115
3;Concatenated;74;2289
3;Measurement State Prep;74;2825
3;Tanner Network;74;2369
3;Dual Surface;75;273
3;Rotated Surface;75;87
3;Concatenated;75;2129
3;Measurement State Prep;75;2873
3;Tanner Network;75;2065
3;Dual Surface;76;281
3;Rotated Surface;76;89
3;Concatenated;76;2137
3;Measurement State Prep;76;2631
3;Tanner Network;76;2369
3;Dual Surface;77;265
3;Rotated Surface;77;93
3;Concatenated;77;2009
3;Measurement State Prep;77;3007
3;Tanner Network;77;2473
3;Dual Surface;78;281
3;Rotated Surface;78;89
3;Concatenated;78;1969
3;Measurement State Prep;78;2889
3;Tanner Network;78;2369
3;Dual Surface;79;273
3;Rotated Surface;79;111
3;Concatenated;79;1913
3;Measurement State Prep;79;2595
3;Tanner Network;79;2273
3;Dual Surface;80;289
3;Rotated Surface;80;87
3;Concatenated;80;2129
3;Measurement State Prep;80;2977
3;Tanner Network;80;2369
3;Dual Surface;81;277
3;Rotated Surface;81;89
3;Concatenated;81;1897
3;Measurement State Prep;81;2527
3;Tanner Network;81;2369
3;Dual Surface;82;281
3;Rotated Surface;82;89
3;Concatenated;82;1937
3;Measurement State Prep;82;2879
3;Tanner Network;82;2369
3;Dual Surface;83;277
3;Rotated Surface;83;95
3;Concatenated;83;2201
3;Measurement State Prep;83;3001
3;Tanner Network;83;2369
3;Dual Surface;84;281
3;Rotated Surface;84;91
3;Concatenated;84;1961
3;Measurement State Prep;84;2909
3;Tanner Network;84;2353
3;Dual Surface;85;277
3;Rotated Surface;85;89
3;Concatenated;85;2153
3;Measurement State Prep;85;3051
3;Tanner Network;85;2369
3;Dual Surface;86;281
3;Rotated Surface;86;87
3;Concatenated;86;1817
3;Measurement State Prep;86;2917
3;Tanner Network;86;2065
3;Dual Surface;87;281
3;Rotated Surface;87;89
3;Concatenated;87;2105
3;Measurement State Prep;87;2743
3;Tanner Network;87;2369
3;Dual Surface;88;273
3;Rotated Surface;88;99
3;Concatenated;88;1937
3;Measurement State Prep;88;2797
3;Tanner Network;88;2345
3;Dual Surface;89;265
3;Rotated Surface;89;91
3;Concatenated;89;1889
3;Measurement State Prep;89;2429
3;Tanner Network;89;2069
3;Dual Surface;90;281
3;Rotated Surface;90;91
3;Concatenated;90;1793
3;Measurement State Prep;90;2439
3;Tanner Network;90;2257
3;Dual Surface;91;281
3;Rotated Surface;91;101
3;Concatenated;91;2049
3;Measurement State Prep;91;2837
3;Tanner Network;91;2369
3;Dual Surface;92;249
3;Rotated Surface;92;89
3;Concatenated;92;2081
3;Measurement State Prep;92;3001
3;Tanner Network;92;1821
3;Dual Surface;93;265
3;Rotated Surface;93;95
3;Concatenated;93;1569
3;Measurement State Prep;93;2515
3;Tanner Network;93;2497
3;Dual Surface;94;281
3;Rotated Surface;94;87
3;Concatenated;94;1761
3;Measurement State Prep;94;2699
3;Tanner Network;94;2357
3;Dual Surface;95;293
3;Rotated Surface;95;87
3;Concatenated;95;2097
3;Measurement State Prep;95;2535
3;Tanner Network;95;2265
3;Dual Surface;96;249
3;Rotated Surface;96;89
3;Concatenated;96;2097
3;Measurement State Prep;96;2929
3;Tanner Network;96;2433
3;Dual Surface;97;277
3;Rotated Surface;97;87
3;Concatenated;97;1993
3;Measurement State Prep;97;2993
3;Tanner Network;97;2325
3;Dual Surface;98;273
3;Rotated Surface;98;119
3;Concatenated;98;2153
3;Measurement State Prep;98;2413
3;Tanner Network;98;2369
3;Dual Surface;99;265
3;Rotated Surface;99;103
3;Concatenated;99;2169
3;Measurement State Prep;99;2887
3;Tanner Network;99;2153
4;Dual Surface;0;2161
4;Rotated Surface;0;513
4;Concatenated;0;84665
4;Measurement State Prep;0;2774349
4;Tanner Network;0;1338385
4;Dual Surface;1;2289
4;Rotated Surface;1;475
4;Concatenated;1;55969
4;Measurement State Prep;1;2619067
4;Tanner Network;1;738225
4;Dual Surface;2;1785
4;Rotated Surface;2;501
4;Concatenated;2;78881
4;Measurement State Prep;2;2382295
4;Tanner Network;2;690861
4;Dual Surface;3;1953
4;Rotated Surface;3;661
4;Concatenated;3;70353
4;Measurement State Prep;3;3025065
4;Tanner Network;3;813377
4;Dual Surface;4;2433
4;Rotated Surface;4;637
4;Concatenated;4;78177
4;Measurement State Prep;4;1601053
4;Tanner Network;4;753417
4;Dual Surface;5;2241
4;Rotated Surface;5;593
4;Concatenated;5;69201
4;Measurement State Prep;5;1781817
4;Tanner Network;5;1219469
4;Dual Surface;6;1889
4;Rotated Surface;6;491
4;Concatenated;6;76137
4;Measurement State Prep;6;1542865
4;Tanner Network;6;733617
4;Dual Surface;7;2129
4;Rotated Surface;7;521
4;Concatenated;7;78753
4;Measurement State Prep;7;1519589
4;Tanner Network;7;726509
4;Dual Surface;8;2033
4;Rotated Surface;8;499
4;Concatenated;8;88137
4;Measurement State Prep;8;2196661
4;Tanner Network;8;687785
4;Dual Surface;9;1873
4;Rotated Surface;9;531
4;Concatenated;9;85929
4;Measurement State Prep;9;821771
4;Tanner Network;9;816337
4;Dual Surface;10;2509
4;Rotated Surface;10;499
4;Concatenated;10;65569
4;Measurement State Prep;10;2290119
4;Tanner Network;10;761329
4;Dual Surface;11;2613
4;Rotated Surface;11;501
4;Concatenated;11;102513
4;Measurement State Prep;11;1797541
4;Tanner Network;11;781265
4;Dual Surface;12;2469
4;Rotated Surface;12;589
4;Concatenated;12;59809
4;Measurement State Prep;12;1503341
4;Tanner Network;12;755473
4;Dual Surface;13;2041
4;Rotated Surface;13;617
4;Concatenated;13;84833
4;Measurement State Prep;13;1473739
4;Tanner Network;13;815661
4;Dual Surface;14;2253
4;Rotated Surface;14;547
4;Concatenated;14;73073
4;Measurement State Prep;14;1866431
4;Tanner Network;14;726545
4;Dual Surface;15;1841
4;Rotated Surface;15;543
4;Concatenated;15;48305
4;Measurement State Prep;15;1595841
4;Tanner Network;15;735505
4;Dual Surface;16;1809
4;Rotated Surface;16;523
4;Concatenated;16;67297
4;Measurement State Prep;16;1507613
4;Tanner Network;16;875753
4;Dual Surface;17;2353
4;Rotated Surface;17;487
4;Concatenated;17;119393
4;Measurement State Prep;17;1187317
4;Tanner Network;17;749549
4;Dual Surface;18;1529
4;Rotated Surface;18;565
4;Concatenated;18;59873
4;Measurement State Prep;18;1418055
4;Tanner Network;18;689617
4;Dual Surface;19;2345
4;Rotated Surface;19;661
4;Concatenated;19;67809
4;Measurement State Prep;19;1582689
4;Tanner Network;19;753085
4;Dual Surface;20;1961
