cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
flops;['greedy'];BB MSP;30;0;4391577568533548382;20007789819092.0;20007789828722.0;4398046511104;0.04967;44.24681663513184
custom_flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;1.3367164134979248
custom_flops;['greedy'];Concatenated Repetition;27;0;588;116.0;312.0;16;0.57292;3.277283191680908
custom_flops;['greedy'];Concatenated Repetition;81;0;2028;476.0;1104.0;16;0.58013;14.87066102027893
flops;['greedy'];Concatenated Repetition;9;0;108;10.0;62.0;4;0.58333;0.0368227958679199
flops;['greedy'];Concatenated Repetition;27;0;588;124.0;320.0;16;0.58333;0.0988979339599609
flops;['greedy'];Concatenated Repetition;81;0;2028;484.0;1112.0;16;0.58333;0.282222032546997
custom_flops;['greedy'];Holographic;25;0;18736;2560.0;2736.0;256;0.925;6.740738868713379
custom_flops;['greedy'];Holographic;95;0;1642448;2142528.0;2143504.0;65536;0.42109;81.24175071716309
flops;['greedy'];Holographic;25;0;36592;6160.0;6336.0;1024;1.0;0.2133283615112304
flops;['greedy'];Holographic;95;0;17616464;17493120.0;17494096.0;65536;0.875;1.6386189460754397
custom_flops;['greedy'];Rotated Surface Tanner;9;0;398768;484.0;724.0;64;0.1377;12.519703149795532
custom_flops;['greedy'];Rotated Surface Tanner;25;0;38572551844195232;5843828.0;5850068.0;1048576;0.03568;93.10751223564148
flops;['greedy'];Rotated Surface Tanner;9;0;398000;572.0;812.0;64;0.15479;0.1928770542144775
flops;['greedy'];Rotated Surface Tanner;25;0;1337252702688;32765288.0;32771528.0;4194304;0.03272;1.7922322750091553
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;12.58902621269226
custom_flops;['greedy'];Rotated Surface;25;0;219904;744.0;1000.0;32;0.09375;49.49207878112793
custom_flops;['greedy'];Rotated Surface;49;0;11510848;4416.0;4992.0;128;0.04102;100.35769724845886
flops;['greedy'];Rotated Surface;9;0;6656;124.0;188.0;16;0.23438;0.3246440887451172
flops;['greedy'];Rotated Surface;25;0;192256;768.0;1024.0;32;0.08789;1.0486454963684082
flops;['greedy'];Rotated Surface;49;0;7447616;12472.0;13048.0;256;0.05819;2.551737070083618
custom_flops;['greedy'];BB MSP;18;0;44415979584690;8365614.0;8371392.0;1048576;0.06629;307.6826663017273
custom_flops;['greedy'];BB MSP;30;0;1298396079124220950796849751737054;7019676801284.0;7019676810914.0;2199023255552;0.11278;309.02192187309265
flops;['greedy'];BB MSP;18;0;2247378737362;1387742880.0;1387748658.0;536870912;0.10165;31.597238779067993
flops;['greedy'];BB MSP;30;0;642374317415660054;5.2144478567381875e+17;5.2144478567382835e+17;36028797018963968;0.00549;108.26972723007202
custom_flops;['greedy'];BB MSP;18;0;90259609390802;28128876.0;28134654.0;4194304;0.03508;305.1372776031494
custom_flops;['greedy'];BB MSP;30;0;25372823886799414062230361476254;57270029245088.0;57270029254718.0;35184372088832;0.0837;307.705931186676
flops;['greedy'];BB MSP;18;0;8004723634450;53460668.0;53466446.0;8388608;0.05103;24.184779167175293
flops;['greedy'];BB MSP;30;0;222718559436598302;2.162456131966434e+16;2.162456131967397e+16;4503599627370496;0.07831;84.06391763687134
custom_flops;['greedy'];Hamming MSP;7;0;1202287;1294.0;1949.0;128;0.15124;51.64968013763428
custom_flops;['greedy'];Hamming MSP;15;0;449972988559;1364864.0;1373743.0;262144;0.03539;255.57612419128415
flops;['greedy'];Hamming MSP;7;0;723055;1690.0;2345.0;256;0.16198;1.9125287532806396
flops;['greedy'];Hamming MSP;15;0;109011670671;5745808286.0;5745817165.0;1073741824;0.04247;5.837934970855713
custom_flops;['greedy'];BB Tanner;18;0;5040573101235327207680;700238848.0;700241152.0;268435456;0.02905;40.15902280807495
custom_flops;['greedy'];BB Tanner;30;0;19515550388981504;5631213209666.0;5631213213506.0;549755813888;0.01698;140.30578231811523
flops;['greedy'];BB Tanner;18;0;22310887622912;5589452866.0;5589455170.0;1073741824;0.02862;3.2806804180145264
flops;['greedy'];BB Tanner;30;0;19515550388981504;5890077526082.0;5890077529922.0;549755813888;0.01698;9.39242386817932
custom_flops;['greedy'];Hamming Tanner;7;0;1623004;786.0;1006.0;256;0.10775;5.605240821838379
custom_flops;['greedy'];Hamming Tanner;15;0;72343540212320880;1784960.0;1787632.0;1048576;0.04649;20.323063135147095
flops;['greedy'];Hamming Tanner;7;0;1623004;788.0;1008.0;256;0.1084;0.1515207290649414
flops;['greedy'];Hamming Tanner;15;0;295619156592;6027856.0;6030528.0;1048576;0.04927;0.6204853057861328
custom_flops;['greedy'];Holographic;25;0;10480;2320.0;2496.0;256;0.82656;3.932703495025635
custom_flops;['greedy'];Holographic;95;0;1593616;2023824.0;2024800.0;65536;0.33906;38.051658630371094
flops;['greedy'];Holographic;25;0;18736;3136.0;3312.0;256;0.925;0.1134023666381836
flops;['greedy'];Holographic;95;0;40193616;21224256.0;21225232.0;262144;0.84609;0.8648693561553955
custom_flops;['greedy'];Rotated Surface Tanner;9;0;423088;516.0;756.0;64;0.13818;12.569607257843018
custom_flops;['greedy'];Rotated Surface Tanner;25;0;4618802625018653600;7420788.0;7427028.0;1048576;0.03567;90.92536211013794
flops;['greedy'];Rotated Surface Tanner;9;0;607408;604.0;844.0;64;0.14111;0.3395235538482666
flops;['greedy'];Rotated Surface Tanner;25;0;4773525027232;27998036.0;28004276.0;2097152;0.03053;3.055276870727539
custom_flops;['greedy'];Hamming Tanner;7;0;1623004;786.0;1006.0;256;0.10775;9.80847954750061
custom_flops;['greedy'];Hamming Tanner;15;0;22799755581475440;1834240.0;1836912.0;1048576;0.04646;30.28450059890747
flops;['greedy'];Hamming Tanner;7;0;1623004;1024.0;1244.0;256;0.14876;0.139406681060791
flops;['greedy'];Hamming Tanner;15;0;295619156592;6023504.0;6026176.0;1048576;0.04925;0.5528216361999512
custom_flops;['greedy'];Rotated Surface Tanner;9;0;431280;484.0;724.0;64;0.13525;6.903477191925049
custom_flops;['greedy'];Rotated Surface Tanner;25;0;25906186744294304;4537716.0;4543956.0;1048576;0.0357;93.62140274047852
flops;['greedy'];Rotated Surface Tanner;9;0;398000;436.0;676.0;64;0.14062;0.3464646339416504
flops;['greedy'];Rotated Surface Tanner;25;0;1449379355104;46168364.0;46174604.0;8388608;0.03792;3.075985908508301
custom_flops;['greedy'];Hamming MSP;7;0;1202287;1306.0;1961.0;128;0.15124;75.84511637687683
custom_flops;['greedy'];Hamming MSP;15;0;263082220343;633491.0;642370.0;65536;0.02934;248.9481806755066
flops;['greedy'];Hamming MSP;7;0;723055;1662.0;2317.0;256;0.15156;1.01434326171875
flops;['greedy'];Hamming MSP;15;0;57462907343;1392320246.0;1392329125.0;268435456;0.07928;9.51422357559204
custom_flops;['greedy'];Rotated Surface Tanner;9;0;398000;436.0;676.0;64;0.14062;12.948665618896484
custom_flops;['greedy'];Rotated Surface Tanner;25;0;38564867023367072;4951412.0;4957652.0;1048576;0.03568;99.30400133132936
flops;['greedy'];Rotated Surface Tanner;9;0;398000;540.0;780.0;64;0.15283;0.1523714065551757
flops;['greedy'];Rotated Surface Tanner;25;0;920277594336;18051852.0;18058092.0;1048576;0.03201;1.4335076808929443
custom_flops;['greedy'];Rotated Surface;9;0;6720;68.0;132.0;8;0.17188;12.569616556167604
custom_flops;['greedy'];Rotated Surface;25;0;219904;736.0;992.0;32;0.08529;48.625354290008545
custom_flops;['greedy'];Rotated Surface;49;0;11514944;4528.0;5104.0;128;0.04435;123.84513592720032
flops;['greedy'];Rotated Surface;9;0;6656;164.0;228.0;32;0.23438;0.1647582054138183
flops;['greedy'];Rotated Surface;25;0;188160;1200.0;1456.0;64;0.07943;0.4916243553161621
flops;['greedy'];Rotated Surface;49;0;5639744;11800.0;12376.0;512;0.0555;1.175483226776123
custom_flops;['greedy'];Hamming MSP;7;0;1202287;1334.0;1989.0;128;0.15482;36.5994815826416
