distance;representation;num_run;upper_bound_cost
5;Concatenated;91;216.02307216798906
5;Concatenated;92;213.19264507659878
5;Concatenated;93;210.02311625668878
5;Concatenated;94;204.0450878035372
5;Concatenated;95;204.04785413532326
5;Concatenated;96;204.04508780355786
5;Concatenated;97;204.04508780370253
5;Concatenated;98;204.04508780370253
5;Concatenated;99;204.0450878035372
5;Measurement State Prep;0;903.0227200765
5;Measurement State Prep;1;891.0227200765001
5;Measurement State Prep;2;897.022720087249
5;Measurement State Prep;3;924.0227200765001
5;Measurement State Prep;4;879.0230722539803
5;Measurement State Prep;5;882.1926450779424
5;Measurement State Prep;6;879.0227200765
5;Measurement State Prep;7;891.0450878895285
5;Measurement State Prep;8;915.0227200765
5;Measurement State Prep;9;876.1926450779447
5;Measurement State Prep;10;915.0227200765
5;Measurement State Prep;11;903.0227200766681
5;Measurement State Prep;12;903.0450878895285
5;Measurement State Prep;13;903.0227200778437
5;Measurement State Prep;14;891.0227200765
5;Measurement State Prep;15;894.0255350921071
5;Measurement State Prep;16;885.0451312390888
5;Measurement State Prep;17;903.0227200765
5;Measurement State Prep;18;897.0255350921071
5;Measurement State Prep;19;897.0227207644306
5;Measurement State Prep;20;891.0227255799344
5;Measurement State Prep;21;915.0227200765
5;Measurement State Prep;22;915.0227200765
5;Measurement State Prep;23;903.0227200765001
5;Measurement State Prep;24;879.0450878895285
5;Measurement State Prep;25;915.0227200765
5;Measurement State Prep;26;903.0227200765
5;Measurement State Prep;27;873.1926450779424
5;Measurement State Prep;28;903.0227200766681
5;Measurement State Prep;29;891.0227200765
5;Measurement State Prep;30;909.0227200765
5;Measurement State Prep;31;882.1926450779424
5;Measurement State Prep;32;915.0227200765
5;Measurement State Prep;33;891.0227200765
5;Measurement State Prep;34;924.0227200765001
5;Measurement State Prep;35;909.0227200765
5;Measurement State Prep;36;909.0227200765
5;Measurement State Prep;37;915.0227200765
5;Measurement State Prep;38;915.0227200765
5;Measurement State Prep;39;891.0255350921071
5;Measurement State Prep;40;894.0227641033896
5;Measurement State Prep;41;897.0227200765
5;Measurement State Prep;42;897.0227200766681
5;Measurement State Prep;43;921.0227200765
5;Measurement State Prep;44;909.0230722539803
5;Measurement State Prep;45;909.0227200765
5;Measurement State Prep;46;909.0227200765
5;Measurement State Prep;47;903.0227200765
5;Measurement State Prep;48;915.0227200765
5;Measurement State Prep;49;915.0227200765
5;Measurement State Prep;50;927.0227200765004
5;Measurement State Prep;51;891.0227200765
5;Measurement State Prep;52;885.025535092128
5;Measurement State Prep;53;894.1926450779424
5;Measurement State Prep;54;915.0227200765
5;Measurement State Prep;55;897.0227200766681
5;Measurement State Prep;56;909.0227200765
5;Measurement State Prep;57;900.0227207644306
5;Measurement State Prep;58;915.0227200765
5;Measurement State Prep;59;909.0227200765
5;Measurement State Prep;60;909.0227200765001
5;Measurement State Prep;61;891.0227200765
5;Measurement State Prep;62;903.0227200778437
5;Measurement State Prep;63;903.0227200765
5;Measurement State Prep;64;924.0227200765001
5;Measurement State Prep;65;879.0227200765
5;Measurement State Prep;66;891.0450878895285
5;Measurement State Prep;67;885.1926450779424
5;Measurement State Prep;68;891.1926450779424
5;Measurement State Prep;69;906.0227641033869
5;Measurement State Prep;70;888.0255350921071
5;Measurement State Prep;71;903.0227200765001
5;Measurement State Prep;72;903.0227200765001
5;Measurement State Prep;73;880.0227200765106
5;Measurement State Prep;74;885.0227641033869
5;Measurement State Prep;75;909.0227200765
5;Measurement State Prep;76;915.0227200765
5;Measurement State Prep;77;903.0227201624914
5;Measurement State Prep;78;891.0230722553237
5;Measurement State Prep;79;879.0227200765
5;Measurement State Prep;80;909.0227200765
5;Measurement State Prep;81;891.0227200765
5;Measurement State Prep;82;897.0230722539803
5;Measurement State Prep;83;880.0227200765
5;Measurement State Prep;84;891.0450878895285
5;Measurement State Prep;85;909.0227200765001
5;Measurement State Prep;86;885.0255350921071
5;Measurement State Prep;87;927.0227200765
5;Measurement State Prep;88;891.0227641033869
5;Measurement State Prep;89;897.0230722539804
5;Measurement State Prep;90;900.0227207644306
5;Measurement State Prep;91;897.0227200765
5;Measurement State Prep;92;885.0255350921097
5;Measurement State Prep;93;894.1926450779424
5;Measurement State Prep;94;921.0227200765
5;Measurement State Prep;95;891.022720087249
5;Measurement State Prep;96;909.0227200765027
5;Measurement State Prep;97;915.0227200765
5;Measurement State Prep;98;915.0227200765
5;Measurement State Prep;99;891.022720087249
5;Tanner Network;0;237.0227200765001
5;Tanner Network;1;231.04508788952853
5;Tanner Network;2;231.04508788952853
5;Tanner Network;3;231.04508788952853
5;Tanner Network;4;186.19769701189026
5;Tanner Network;5;225.04508797419692
5;Tanner Network;6;231.04508788952853
5;Tanner Network;7;231.04508788952853
5;Tanner Network;8;222.02553577869892
5;Tanner Network;9;222.02553577869654
5;Tanner Network;10;231.04508788952853
