distance;num_qubits;representation;num_run;upper_bound_cost;custom_cost
-1;18;BB MSP (degenerate);4;179.94633322917082;15.59959531847928
-1;18;BB MSP (degenerate);5;183.0240295008405;16.46853785164401
-1;18;BB MSP (degenerate);6;178.8670975753104;15.493320882773709
-1;18;BB MSP (degenerate);7;179.9464349496056;16.945432057722826
-1;18;BB MSP (degenerate);8;179.94633322917082;16.677007934349582
-1;18;BB MSP (degenerate);9;179.94633322917082;14.760278342150892
-1;30;BB MSP (degenerate);0;856.7456635290605;39.331933222291134
-1;30;BB MSP (degenerate);1;842.1895727374182;35.86538683963626
-1;30;BB MSP (degenerate);2;848.4278973623412;34.4309549879617
-1;30;BB MSP (degenerate);3;835.9531993333512;40.59839922897558
-1;30;BB MSP (degenerate);4;825.5542855109476;31.685951733482423
-1;30;BB MSP (degenerate);5;842.3073557729581;38.43013371364822
-1;30;BB MSP (degenerate);6;831.7923688528745;34.67827436618472
-1;30;BB MSP (degenerate);7;856.7456635290605;35.182469051110296
-1;30;BB MSP (degenerate);8;865.0634296957799;35.65482534543924
-1;30;BB MSP (degenerate);9;827.6334819520621;33.339132798226466
-1;72;BB MSP (degenerate);0;1956.7724681213265;69.69405797970649
-1;72;BB MSP (degenerate);1;1954.6911322442852;70.99458612316606
-1;72;BB MSP (degenerate);2;1949.3236830206693;70.77633063169338
-1;72;BB MSP (degenerate);3;1954.7065420782772;75.37556209731943
-1;72;BB MSP (degenerate);4;1954.7065420782772;75.84463602387535
-1;72;BB MSP (degenerate);5;1950.6854173778745;63.391364434637964
-1;72;BB MSP (degenerate);6;1958.8654288571327;68.64557718250384
-1;72;BB MSP (degenerate);7;2033.7095761198475;80.36609489793427
-1;72;BB MSP (degenerate);8;1954.6910983079708;95.7440763937701
-1;72;BB MSP (degenerate);9;1954.6912217119038;80.28489572217408
-1;144;BB MSP (degenerate);0;3909.36584671536;128.67862173761984
-1;144;BB MSP (degenerate);1;3909.3966184297183;126.65228716778711
-1;144;BB MSP (degenerate);2;4063.2445207993674;129.09951307425217
-1;144;BB MSP (degenerate);3;3909.3658467146724;134.06655288714256
-1;144;BB MSP (degenerate);4;3909.3660908845604;129.2885889765741
-1;144;BB MSP (degenerate);5;3909.36585052882;131.34172910674954
-1;144;BB MSP (degenerate);6;3909.36585052882;134.40108619766858
-1;144;BB MSP (degenerate);7;4007.099599174012;115.21172365614133
-1;144;BB MSP (degenerate);8;4183.852130216798;140.19017932133687
-1;144;BB MSP (degenerate);9;3909.3658467143287;143.77373511915647
